,account_balance,duration,credit_history,purpose,credit_amount,savings_bond_value,employed_since,intallment_rate,sex_marital,guarantor,residence_since,property,age,other_installment_plans,type_of_housing,nr_of_existing_credits,job,number_of_dependents,telephone,foreign,target,content
348,no checking account,6,delay in paying off in the past,business,1743,100-500 DM,1-4 years,1,male;single,bank,2,real estate,34,none,own,2,unskilled;resident,1,No,Yes,__label__1,__label__1 no checking account 6 delay in paying off in the past business 1743 100-500 DM 1-4 years 1 male;single bank 2 real estate 34 none own 2 unskilled;resident 1 No Yes
349,0-200 DM,9,critical account/other credits existing (not at this bank),education,1136,>=1000 DM,>=7 years,4,male;single,bank,3,unknown / no property,32,none,for free,2,skilled employee;official,2,No,Yes,__label__2,__label__2 0-200 DM 9 critical account/other credits existing (not at this bank) education 1136 >=1000 DM >=7 years 4 male;single bank 3 unknown / no property 32 none for free 2 skilled employee;official 2 No Yes
350,no checking account,9,existing credits paid back duly till now,domestic appliances,1236,< 100 DM,<1 year,1,female;divorced/separated/married,bank,4,real estate,23,none,rent,1,skilled employee;official,1,Yes,Yes,__label__1,__label__1 no checking account 9 existing credits paid back duly till now domestic appliances 1236 < 100 DM <1 year 1 female;divorced/separated/married bank 4 real estate 23 none rent 1 skilled employee;official 1 Yes Yes
351,0-200 DM,9,existing credits paid back duly till now,furniture/equipment,959,< 100 DM,1-4 years,1,female;divorced/separated/married,bank,2,car or other,29,none,own,1,skilled employee;official,1,No,No,__label__2,__label__2 0-200 DM 9 existing credits paid back duly till now furniture/equipment 959 < 100 DM 1-4 years 1 female;divorced/separated/married bank 2 car or other 29 none own 1 skilled employee;official 1 No No
352,no checking account,18,critical account/other credits existing (not at this bank),car(used),3229,unknown/no savings account,unemployed,2,male;single,bank,4,unknown / no property,38,none,own,1,management/self-employed/highly qualified employee/officer,1,Yes,Yes,__label__1,__label__1 no checking account 18 critical account/other credits existing (not at this bank) car(used) 3229 unknown/no savings account unemployed 2 male;single bank 4 unknown / no property 38 none own 1 management/self-employed/highly qualified employee/officer 1 Yes Yes
353,< 0,12,no credits taken/all credits paid back duly,radio/television,6199,< 100 DM,1-4 years,4,male;single,bank,2,building society savings agreement/life insurance,28,none,rent,2,skilled employee;official,1,Yes,Yes,__label__2,__label__2 < 0 12 no credits taken/all credits paid back duly radio/television 6199 < 100 DM 1-4 years 4 male;single bank 2 building society savings agreement/life insurance 28 none rent 2 skilled employee;official 1 Yes Yes
354,no checking account,10,existing credits paid back duly till now,education,727,500-1000 DM,>=7 years,4,male;single,bank,4,unknown / no property,46,none,for free,1,skilled employee;official,1,Yes,Yes,__label__1,__label__1 no checking account 10 existing credits paid back duly till now education 727 500-1000 DM >=7 years 4 male;single bank 4 unknown / no property 46 none for free 1 skilled employee;official 1 Yes Yes
355,0-200 DM,24,existing credits paid back duly till now,car(new),1246,< 100 DM,<1 year,4,male;single,bank,2,real estate,23,stores,own,1,unskilled;resident,1,No,Yes,__label__2,__label__2 0-200 DM 24 existing credits paid back duly till now car(new) 1246 < 100 DM <1 year 4 male;single bank 2 real estate 23 stores own 1 unskilled;resident 1 No Yes
356,no checking account,12,critical account/other credits existing (not at this bank),radio/television,2331,unknown/no savings account,>=7 years,1,male;single,stores,4,real estate,49,none,own,1,skilled employee;official,1,Yes,Yes,__label__1,__label__1 no checking account 12 critical account/other credits existing (not at this bank) radio/television 2331 unknown/no savings account >=7 years 1 male;single stores 4 real estate 49 none own 1 skilled employee;official 1 Yes Yes
357,no checking account,36,delay in paying off in the past,radio/television,4463,< 100 DM,1-4 years,4,male;single,bank,2,car or other,26,none,own,2,management/self-employed/highly qualified employee/officer,1,Yes,Yes,__label__2,__label__2 no checking account 36 delay in paying off in the past radio/television 4463 < 100 DM 1-4 years 4 male;single bank 2 car or other 26 none own 2 management/self-employed/highly qualified employee/officer 1 Yes Yes
358,no checking account,12,existing credits paid back duly till now,radio/television,776,< 100 DM,1-4 years,4,male;married/widowed,bank,2,real estate,28,none,own,1,skilled employee;official,1,No,Yes,__label__1,__label__1 no checking account 12 existing credits paid back duly till now radio/television 776 < 100 DM 1-4 years 4 male;married/widowed bank 2 real estate 28 none own 1 skilled employee;official 1 No Yes
359,< 0,30,existing credits paid back duly till now,furniture/equipment,2406,< 100 DM,4-7 years,4,female;divorced/separated/married,bank,4,real estate,23,none,rent,1,skilled employee;official,1,No,Yes,__label__2,__label__2 < 0 30 existing credits paid back duly till now furniture/equipment 2406 < 100 DM 4-7 years 4 female;divorced/separated/married bank 4 real estate 23 none rent 1 skilled employee;official 1 No Yes
360,0-200 DM,18,existing credits paid back duly till now,education,1239,unknown/no savings account,1-4 years,4,male;single,bank,4,unknown / no property,61,none,for free,1,skilled employee;official,1,No,Yes,__label__1,__label__1 0-200 DM 18 existing credits paid back duly till now education 1239 unknown/no savings account 1-4 years 4 male;single bank 4 unknown / no property 61 none for free 1 skilled employee;official 1 No Yes
361,>=200 DM,12,existing credits paid back duly till now,radio/television,3399,unknown/no savings account,>=7 years,2,male;single,bank,3,car or other,37,none,own,1,management/self-employed/highly qualified employee/officer,1,No,Yes,__label__1,__label__1 >=200 DM 12 existing credits paid back duly till now radio/television 3399 unknown/no savings account >=7 years 2 male;single bank 3 car or other 37 none own 1 management/self-employed/highly qualified employee/officer 1 No Yes
362,>=200 DM,12,delay in paying off in the past,car(new),2247,< 100 DM,1-4 years,2,female;divorced/separated/married,bank,2,car or other,36,stores,own,2,skilled employee;official,1,Yes,Yes,__label__1,__label__1 >=200 DM 12 delay in paying off in the past car(new) 2247 < 100 DM 1-4 years 2 female;divorced/separated/married bank 2 car or other 36 stores own 2 skilled employee;official 1 Yes Yes
363,no checking account,6,existing credits paid back duly till now,furniture/equipment,1766,< 100 DM,1-4 years,1,male;married/widowed,bank,2,building society savings agreement/life insurance,21,none,rent,1,skilled employee;official,1,No,Yes,__label__1,__label__1 no checking account 6 existing credits paid back duly till now furniture/equipment 1766 < 100 DM 1-4 years 1 male;married/widowed bank 2 building society savings agreement/life insurance 21 none rent 1 skilled employee;official 1 No Yes
364,< 0,18,existing credits paid back duly till now,furniture/equipment,2473,< 100 DM,unemployed,4,male;single,bank,1,car or other,25,none,own,1,unemployed/unskilled;non-resident,1,No,Yes,__label__2,__label__2 < 0 18 existing credits paid back duly till now furniture/equipment 2473 < 100 DM unemployed 4 male;single bank 1 car or other 25 none own 1 unemployed/unskilled;non-resident 1 No Yes
365,no checking account,12,existing credits paid back duly till now,business,1542,< 100 DM,4-7 years,2,male;single,bank,4,car or other,36,none,own,1,skilled employee;official,1,Yes,Yes,__label__1,__label__1 no checking account 12 existing credits paid back duly till now business 1542 < 100 DM 4-7 years 2 male;single bank 4 car or other 36 none own 1 skilled employee;official 1 Yes Yes
366,no checking account,18,critical account/other credits existing (not at this bank),car(used),3850,< 100 DM,4-7 years,3,male;single,bank,1,car or other,27,none,own,2,skilled employee;official,1,No,Yes,__label__1,__label__1 no checking account 18 critical account/other credits existing (not at this bank) car(used) 3850 < 100 DM 4-7 years 3 male;single bank 1 car or other 27 none own 2 skilled employee;official 1 No Yes
367,< 0,18,existing credits paid back duly till now,furniture/equipment,3650,< 100 DM,<1 year,1,female;divorced/separated/married,bank,4,car or other,22,none,rent,1,skilled employee;official,1,No,Yes,__label__1,__label__1 < 0 18 existing credits paid back duly till now furniture/equipment 3650 < 100 DM <1 year 1 female;divorced/separated/married bank 4 car or other 22 none rent 1 skilled employee;official 1 No Yes
368,< 0,36,existing credits paid back duly till now,furniture/equipment,3446,< 100 DM,>=7 years,4,male;single,bank,2,car or other,42,none,own,1,skilled employee;official,2,No,Yes,__label__2,__label__2 < 0 36 existing credits paid back duly till now furniture/equipment 3446 < 100 DM >=7 years 4 male;single bank 2 car or other 42 none own 1 skilled employee;official 2 No Yes
369,0-200 DM,18,existing credits paid back duly till now,furniture/equipment,3001,< 100 DM,4-7 years,2,female;divorced/separated/married,bank,4,real estate,40,none,rent,1,skilled employee;official,1,No,Yes,__label__1,__label__1 0-200 DM 18 existing credits paid back duly till now furniture/equipment 3001 < 100 DM 4-7 years 2 female;divorced/separated/married bank 4 real estate 40 none rent 1 skilled employee;official 1 No Yes
370,no checking account,36,existing credits paid back duly till now,car(new),3079,unknown/no savings account,1-4 years,4,male;single,bank,4,real estate,36,none,own,1,skilled employee;official,1,No,Yes,__label__1,__label__1 no checking account 36 existing credits paid back duly till now car(new) 3079 unknown/no savings account 1-4 years 4 male;single bank 4 real estate 36 none own 1 skilled employee;official 1 No Yes
371,no checking account,18,critical account/other credits existing (not at this bank),radio/television,6070,< 100 DM,>=7 years,3,male;single,bank,4,car or other,33,none,own,2,skilled employee;official,1,Yes,Yes,__label__1,__label__1 no checking account 18 critical account/other credits existing (not at this bank) radio/television 6070 < 100 DM >=7 years 3 male;single bank 4 car or other 33 none own 2 skilled employee;official 1 Yes Yes
372,no checking account,10,critical account/other credits existing (not at this bank),furniture/equipment,2146,< 100 DM,<1 year,1,female;divorced/separated/married,bank,3,real estate,23,none,rent,2,skilled employee;official,1,No,Yes,__label__1,__label__1 no checking account 10 critical account/other credits existing (not at this bank) furniture/equipment 2146 < 100 DM <1 year 1 female;divorced/separated/married bank 3 real estate 23 none rent 2 skilled employee;official 1 No Yes
373,no checking account,60,critical account/other credits existing (not at this bank),car(new),13756,unknown/no savings account,>=7 years,2,male;single,bank,4,unknown / no property,63,bank,for free,1,management/self-employed/highly qualified employee/officer,1,Yes,Yes,__label__1,__label__1 no checking account 60 critical account/other credits existing (not at this bank) car(new) 13756 unknown/no savings account >=7 years 2 male;single bank 4 unknown / no property 63 bank for free 1 management/self-employed/highly qualified employee/officer 1 Yes Yes
374,0-200 DM,60,all credits at this bank paid back duly,others,14782,100-500 DM,>=7 years,3,female;divorced/separated/married,bank,4,unknown / no property,60,bank,for free,2,management/self-employed/highly qualified employee/officer,1,Yes,Yes,__label__2,__label__2 0-200 DM 60 all credits at this bank paid back duly others 14782 100-500 DM >=7 years 3 female;divorced/separated/married bank 4 unknown / no property 60 bank for free 2 management/self-employed/highly qualified employee/officer 1 Yes Yes
375,< 0,48,all credits at this bank paid back duly,business,7685,< 100 DM,4-7 years,2,female;divorced/separated/married,none,4,car or other,37,none,rent,1,skilled employee;official,1,No,Yes,__label__2,__label__2 < 0 48 all credits at this bank paid back duly business 7685 < 100 DM 4-7 years 2 female;divorced/separated/married none 4 car or other 37 none rent 1 skilled employee;official 1 No Yes
